10,"40-Mile Air",\N,"Q5","MLA","MILE-AIR","United States","Y"
891,"Afrique Chart'air",\N,"","FRQ","CHARTER AFRIQUE","Cameroon","N"
998,"Air Koryo",\N,"JS","KOR","AIR KORYO","Democratic People's Republic of Korea","Y"
