1,"Auckland Intl","Auckland","New Zealand","AKL","NZAA",-37.008056,174.791667,23,12,"Z","Pacific/Auckland"
2,"Baiyun Intl","Guangzhou","China","CAN","ZGGG",23.392436,113.298786,50,8,"U","Asia/Chongqing"
